"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Empty"
"2025-05-01","top_healthcare","82","OPTN","OptiNose, Inc.","9.40","0.11%","RATING: BUY 3.69","Pharmaceuticals",""
"2025-05-01","top_healthcare","83","CLLS","Cellectis S.A.","1.59 Post. 1.60","-1.36% 0.57%","RATING: BUY 3.68","Biotechnology",""
"2025-05-01","top_healthcare","84","CLPBY","Coloplast A/S","10.55","-0.85%","RATING: BUY 3.68","Health Care Supplies",""
"2025-05-01","top_healthcare","85","GOSS","Gossamer Bio, Inc.","1.18 Post. 1.16","11.32% -1.69%","RATING: BUY 3.66","Biotechnology",""
"2025-05-01","top_healthcare","86","ARDX","Ardelyx, Inc.","4.13 Post. 4.17","-24.50% 0.97%","RATING: BUY 3.65","Biotechnology",""
"2025-05-01","top_healthcare","87","BAX","Baxter International Inc.","30.71 Post. 30.21","0.13% -1.63%","RATING: BUY 3.65","Health Care Equipment",""
"2025-05-01","top_healthcare","88","MYO","Myomo, Inc.","4.88 Post. 5.27","2.95% 7.99%","RATING: BUY 3.65","Health Care Equipment",""
"2025-05-01","top_healthcare","89","MLSS","Milestone Scientific Inc.","1.09 Post. 1.10","0.93% 0.91%","RATING: BUY 3.63","Health Care Equipment",""
"2025-05-01","top_healthcare","90","STOK","Stoke Therapeutics, Inc.","9.63 Post. 9.20","-2.43% -4.47%","RATING: BUY 3.62","Biotechnology",""
"2025-05-01","top_healthcare","91","OPK","OPKO Health, Inc.","1.39 Post. 1.39","2.59% 0.36%","RATING: BUY 3.61","Health Care Services",""
"2025-05-01","top_healthcare","92","LQDA","Liquidia Corporation","15.83 Post. 15.90","13.23% 0.44%","RATING: BUY 3.60","Pharmaceuticals",""
"2025-05-01","top_healthcare","93","SNTI","Senti Biosciences, Inc.","3.32 Post. 3.30","2.15% -0.60%","RATING: BUY 3.59","Biotechnology",""
"2025-05-01","top_healthcare","94","IONS","Ionis Pharmaceuticals, Inc.","32.78 Post. 33.11","3.37% 1.01%","RATING: BUY 3.58","Biotechnology",""
"2025-05-01","top_healthcare","95","SGRY","Surgery Partners, Inc.","23.08 Post. 22.67","2.90% -1.78%","RATING: BUY 3.58","Health Care Facilities",""
"2025-05-01","top_healthcare","96","VRDN","Viridian Therapeutics, Inc.","13.62 Post. 14.30","-0.87% 4.99%","RATING: BUY 3.56","Biotechnology",""
"2025-05-01","top_healthcare","97","MESO","Mesoblast Limited","12.05","0.92%","RATING: BUY 3.55","Biotechnology",""
"2025-05-01","top_healthcare","98","EMBC","Embecta Corp.","12.73 Post. 12.48","3.66% -1.96%","RATING: BUY 3.55","Health Care Supplies",""
"2025-05-01","top_healthcare","99","DNTH","Dianthus Therapeutics, Inc.","21.70","0.00%","RATING: BUY 3.54","Biotechnology",""
"2025-05-01","top_healthcare","100","HROW","Harrow, Inc.","25.84 Post. 26.00","3.34% 0.64%","RATING: BUY 3.54","Pharmaceuticals",""
