"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Empty"
"2025-05-01","top_technology","19","ITRI","Itron, Inc.","108.23","0.17%","RATING: STRONG BUY 4.74","Electronic Equipment and Instruments",""
"2025-05-01","top_technology","20","FUJIY","FUJIFILM Holdings Corporation","10.59","2.32%","RATING: STRONG BUY 4.73","Technology Hardware, Storage and Peripherals",""
"2025-05-01","top_technology","21","STX","Seagate Technology Holdings plc","93.07 Post. 93.08","3.40% 0.01%","RATING: STRONG BUY 4.73","Technology Hardware, Storage and Peripherals",""
"2025-05-01","top_technology","22","LPL","LG Display Co., Ltd.","3.02 Post. 2.93","2.37% -2.98%","RATING: STRONG BUY 4.71","Electronic Components",""
"2025-05-01","top_technology","23","TSM","Taiwan Semiconductor Manufacturing Company Limited","179.28 Post. 179.50","3.80% 0.12%","RATING: STRONG BUY 4.70","Semiconductors",""
"2025-05-01","top_technology","24","FRSH","Freshworks Inc.","14.70 Post. 14.38","1.52% -2.18%","RATING: STRONG BUY 4.69","Application Software",""
"2025-05-01","top_technology","25","ASAN","Asana, Inc.","16.27 Post. 16.14","1.37% -0.80%","RATING: STRONG BUY 4.69","Application Software",""
"2025-05-01","top_technology","26","ESTC","Elastic N.V.","82.92 Post. 83.20","-3.92% 0.34%","RATING: STRONG BUY 4.62","Application Software",""
"2025-05-01","top_technology","27","COHR","Coherent Corp.","71.64 Post. 71.99","3.57% 0.49%","RATING: STRONG BUY 4.59","Electronic Components",""
"2025-05-01","top_technology","28","IOT","Samsara Inc.","41.39 Post. 41.40","3.35% 0.02%","RATING: STRONG BUY 4.58","Application Software",""
"2025-05-01","top_technology","29","DOMO","Domo, Inc.","7.77 Post. 8.12","3.19% 4.50%","RATING: STRONG BUY 4.57","Application Software",""
"2025-05-01","top_technology","30","NVMI","Nova Ltd.","202.19 Post. 198.28","3.34% -1.93%","RATING: STRONG BUY 4.55","Semiconductor Materials & Equipment",""
"2025-05-01","top_technology","31","SSTI","SoundThinking, Inc.","15.78","1.09%","RATING: STRONG BUY 4.53","Application Software",""
"2025-05-01","top_technology","32","DUOT","Duos Technologies Group, Inc.","6.91 Post. 6.82","3.21% -1.23%","RATING: STRONG BUY 4.51","Systems Software",""
"2025-05-01","top_technology","33","OSIS","OSI Systems, Inc.","224.86","0.24%","RATING: BUY 4.48","Electronic Equipment and Instruments",""
"2025-05-01","top_technology","34","PGY","Pagaya Technologies Ltd.","11.84 Post. 11.97","4.23% 1.10%","RATING: BUY 4.47","Application Software",""
"2025-05-01","top_technology","35","OSPN","OneSpan Inc.","15.05","2.66%","RATING: BUY 4.47","Systems Software",""
"2025-05-01","top_technology","36","API","Agora, Inc.","3.41 Post. 3.37","0.29% -1.17%","RATING: BUY 4.46","Application Software",""
"2025-05-01","top_technology","37","ACIW","ACI Worldwide, Inc.","54.84 Post. 54.96","1.73% 0.22%","RATING: BUY 4.44","Application Software",""
"2025-05-01","top_technology","38","VLN","Valens Semiconductor Ltd.","2.72 Post. 2.59","-0.73% -4.78%","RATING: BUY 4.44","Semiconductors",""
"2025-05-01","top_technology","39","NYAX","Nayax Ltd.","42.40 Post. 42.56","-0.13% 0.38%","RATING: BUY 4.40","Electronic Equipment and Instruments",""
"2025-05-01","top_technology","40","CIEN","Ciena Corporation","72.85 Post. 73.34","1.99% 0.67%","RATING: BUY 4.30","Communications Equipment",""
"2025-05-01","top_technology","41","AI","C3.ai, Inc.","22.48 Post. 22.55","2.98% 0.31%","RATING: BUY 4.28","Application Software",""
"2025-05-01","top_technology","42","SKYT","SkyWater Technology, Inc.","7.54 Post. 7.69","3.57% 1.99%","RATING: BUY 4.28","Semiconductors",""
"2025-05-01","top_technology","43","ALAB","Astera Labs, Inc.","71.27 Post. 71.30","2.96% 0.04%","RATING: BUY 4.27","Semiconductors",""
"2025-05-01","top_technology","44","EXFY","Expensify, Inc.","2.96 Post. 3.10","0.68% 4.56%","RATING: BUY 4.25","Application Software",""
"2025-05-01","top_technology","45","LITE","Lumentum Holdings Inc.","62.86 Post. 63.00","2.18% 0.22%","RATING: BUY 4.24","Communications Equipment",""
"2025-05-01","top_technology","46","TXN","Texas Instruments Incorporated","164.51 Post. 164.52","3.95% 0.01%","RATING: BUY 4.22","Semiconductors",""
"2025-05-01","top_technology","47","CGNT","Cognyte Software Ltd.","9.90 Post. 9.88","0.51% -0.20%","RATING: BUY 4.20","Application Software",""
"2025-05-01","top_technology","48","TUYA","Tuya Inc.","2.39 Post. 2.43","3.46% 1.67%","RATING: BUY 4.18","Application Software",""
"2025-05-01","top_technology","49","UMC","United Microelectronics Corporation","7.35 Post. 7.30","4.85% -0.68%","RATING: BUY 4.17","Semiconductors",""
"2025-05-01","top_technology","50","MU","Micron Technology, Inc.","80.72 Post. 80.96","3.79% 0.30%","RATING: BUY 4.15","Semiconductors",""
"2025-05-01","top_technology","51","JNPR","Juniper Networks, Inc.","36.63","0.77%","RATING: BUY 4.12","Communications Equipment",""
"2025-05-01","top_technology","52","BRZE","Braze, Inc.","32.41 Post. 32.88","3.45% 1.45%","RATING: BUY 4.09","Application Software",""
"2025-05-01","top_technology","53","SITM","SiTime Corporation","163.82 Post. 164.72","4.66% 0.55%","RATING: BUY 4.08","Semiconductors",""
"2025-05-01","top_technology","54","FN","Fabrinet","218.26 Post. 218.20","3.56% -0.03%","RATING: BUY 4.06","Electronic Manufacturing Services",""
"2025-05-01","top_technology","55","MIR","Mirion Technologies, Inc.","16.22","2.98%","RATING: BUY 4.02","Electronic Equipment and Instruments",""
"2025-05-01","top_technology","56","CWAN","Clearwater Analytics Holdings, Inc.","23.13","0.96%","RATING: BUY 4.00","Application Software",""
"2025-05-01","top_technology","57","EXTR","Extreme Networks, Inc.","13.99 Post. 13.90","1.30% -0.64%","RATING: BUY 3.99","Communications Equipment",""
"2025-05-01","top_technology","58","KOPN","Kopin Corporation","1.35","3.05%","RATING: BUY 3.98","Semiconductors",""
"2025-05-01","top_technology","59","EVCM","EverCommerce Inc.","10.00","3.31%","RATING: BUY 3.98","Application Software",""
"2025-05-01","top_technology","60","HCKT","The Hackett Group, Inc.","26.32","2.57%","RATING: BUY 3.95","IT Consulting and Other Services",""
"2025-05-01","top_technology","61","DELL","Dell Technologies Inc.","94.59 Post. 94.44","2.87% -0.16%","RATING: BUY 3.94","Technology Hardware, Storage and Peripherals",""
"2025-05-01","top_technology","62","GLW","Corning Incorporated","45.76 Post. 45.70","2.19% -0.13%","RATING: BUY 3.93","Electronic Components",""
"2025-05-01","top_technology","63","III","Information Services Group, Inc.","3.90","2.63%","RATING: BUY 3.92","IT Consulting and Other Services",""
"2025-05-01","top_technology","64","S","SentinelOne, Inc.","18.88 Post. 18.85","1.67% -0.15%","RATING: BUY 3.90","Systems Software",""
"2025-05-01","top_technology","65","TRMB","Trimble Inc.","64.59 Post. 64.97","3.28% 0.59%","RATING: BUY 3.90","Electronic Equipment and Instruments",""
"2025-05-01","top_technology","66","PMTS","CPI Card Group Inc.","26.36","1.15%","RATING: BUY 3.90","Technology Hardware, Storage and Peripherals",""
"2025-05-01","top_technology","67","FROG","JFrog Ltd.","34.83 Post. 35.26","0.90% 1.23%","RATING: BUY 3.87","Systems Software",""
"2025-05-01","top_technology","68","PTC","PTC Inc.","160.09","2.40%","RATING: BUY 3.87","Application Software",""
"2025-05-01","top_technology","69","APPN","Appian Corporation","31.27 Post. 30.64","-0.19% -2.02%","RATING: BUY 3.85","Systems Software",""
"2025-05-01","top_technology","70","HIMX","Himax Technologies, Inc.","7.69 Post. 7.60","7.85% -1.17%","RATING: BUY 3.83","Semiconductors",""
"2025-05-01","top_technology","71","CINT","CI&T Inc.","5.82","0.34%","RATING: BUY 3.81","IT Consulting and Other Services",""
"2025-05-01","top_technology","72","KARO","Karooooo Ltd.","44.00","1.36%","RATING: BUY 3.80","Application Software",""
"2025-05-01","top_technology","73","BB","BlackBerry Limited","3.49 Post. 3.49","3.56% -0.01%","RATING: BUY 3.79","Systems Software",""
"2025-05-01","top_technology","74","ADBE","Adobe Inc.","380.87 Post. 380.92","1.67% 0.01%","RATING: BUY 3.78","Application Software",""
"2025-05-01","top_technology","75","TWLO","Twilio Inc.","100.11 Post. 100.25","2.28% 0.14%","RATING: BUY 3.77","Internet Services and Infrastructure",""
"2025-05-01","top_technology","76","YOU","Clear Secure, Inc.","25.15 Post. 24.73","3.07% -1.69%","RATING: BUY 3.74","Application Software",""
"2025-05-01","top_technology","77","BASE","Couchbase, Inc.","17.59","-1.40%","RATING: BUY 3.71","Internet Services and Infrastructure",""
"2025-05-01","top_technology","78","ARLO","Arlo Technologies, Inc.","10.35 Post. 10.21","2.58% -1.35%","RATING: BUY 3.69","Electronic Equipment and Instruments",""
"2025-05-01","top_technology","79","PCOR","Procore Technologies, Inc.","64.85","2.59%","RATING: BUY 3.67","Application Software",""
"2025-05-01","top_technology","80","IDN","Intellicheck, Inc.","2.70 Post. 2.69","1.01% -0.26%","RATING: BUY 3.66","Application Software",""
"2025-05-01","top_technology","81","INUV","Inuvo, Inc.","0.39 Post. 0.40","-1.12% 2.51%","RATING: BUY 3.65","Application Software",""
"2025-05-01","top_technology","82","PLTR","Palantir Technologies Inc.","124.28 Post. 124.55","6.95% 0.22%","RATING: HOLD 3.49","Application Software",""
"2025-05-01","top_technology","83","OCFT","OneConnect Financial Technology Co., Ltd.","6.11 Post. 6.15","2.69% 0.65%","RATING: HOLD 3.49","Application Software",""
"2025-05-01","top_technology","84","XIACY","Xiaomi Corporation","34.54 Post. 34.27","7.94% -0.78%","RATING: HOLD 3.49","Technology Hardware, Storage and Peripherals",""
"2025-05-01","top_technology","85","RGTI","Rigetti Computing, Inc.","10.63 Post. 10.59","16.30% -0.38%","RATING: HOLD 3.49","Semiconductors",""
"2025-05-01","top_technology","86","NEON","Neonode Inc.","13.12 Post. 13.31","5.13% 1.45%","RATING: HOLD 3.49","Electronic Manufacturing Services",""
"2025-05-01","top_technology","87","CTM","Castellum, Inc.","0.97 Post. 0.96","1.60% -0.54%","RATING: HOLD 3.49","IT Consulting and Other Services",""
"2025-05-01","top_technology","88","QBTS","D-Wave Quantum Inc.","7.91 Post. 7.84","13.32% -0.89%","RATING: HOLD 3.49","Application Software",""
"2025-05-01","top_technology","89","SATX","Satixfy Communications Ltd.","2.03 Post. 2.02","0.00% -0.53%","RATING: HOLD 3.49","Communications Equipment",""
"2025-05-01","top_technology","90","AVGO","Broadcom Inc.","203.64 Post. 203.52","3.20% -0.06%","RATING: HOLD 3.49","Semiconductors",""
"2025-05-01","top_technology","91","MSFT","Microsoft Corporation","435.28 Post. 434.66","2.32% -0.14%","RATING: HOLD 3.49","Systems Software",""
"2025-05-01","top_technology","92","APP","AppLovin Corporation","307.58 Post. 308.00","10.05% 0.14%","RATING: HOLD 3.48","Application Software",""
"2025-05-01","top_technology","93","UMAC","Unusual Machines, Inc.","6.91 Post. 7.06","5.34% 2.17%","RATING: HOLD 3.48","Electronic Equipment and Instruments",""
"2025-05-01","top_technology","94","VRSN","VeriSign, Inc.","284.09","1.57%","RATING: HOLD 3.48","Internet Services and Infrastructure",""
"2025-05-01","top_technology","95","SAP","SAP SE","301.72 Post. 301.51","4.43% -0.07%","RATING: HOLD 3.47","Application Software",""
"2025-05-01","top_technology","96","OKTA","Okta, Inc.","112.90","0.93%","RATING: HOLD 3.47","Internet Services and Infrastructure",""
"2025-05-01","top_technology","97","GRRR","Gorilla Technology Group Inc.","17.48 Post. 17.50","1.27% 0.11%","RATING: HOLD 3.47","Application Software",""
"2025-05-01","top_technology","98","SQNS","Sequans Communications S.A.","2.03","1.00%","RATING: HOLD 3.46","Semiconductors",""
"2025-05-01","top_technology","99","RBRK","Rubrik, Inc.","73.33 Post. 73.50","3.12% 0.23%","RATING: HOLD 3.46","Systems Software",""
"2025-05-01","top_technology","100","CSCO","Cisco Systems, Inc.","59.33 Post. 59.26","2.08% -0.12%","RATING: HOLD 3.46","Communications Equipment",""
