"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Market Cap","P/E TTM","NET Income TTM","Yield FWD","1M Perf","6M Perf","SA Analyst Ratings","EBITDA FWD","52W Range","","","CIK"
"2026-06-01","top_quant","11","ALTO","Alto Ingredients, Inc.","5.88","7.80%","Rating: Strong Buy4.98","Specialty Chemicals","422.30M","15.00","29.29M","-","2.64%","113.73%","Rating: Buy4.33","NM","0.90","","","778164"
"2026-06-01","top_quant","12","BAND","Bandwidth Inc.","71.26","9.68%","Rating: Strong Buy4.98","Alternative Carriers","2.08B","NM","-5.05M","-","168.47%","356.25%","Rating: Buy4.00","18.83%","12.50","","","1514416"
"2026-06-01","top_quant","13","NVTS","Navitas Semiconductor Corporation","24.79","-6.80%","Rating: Strong Buy4.98","Semiconductors","6.39B","NM","-133.91M","-","71.83%","204.35%","Rating: Hold3.25","NM","4.99","","","1821769"
"2026-06-01","top_quant","14","NBIS","Nebius Group N.V.","268.10","16.02%","Rating: Strong Buy4.98","Systems Software","59.17B","79.90","817.20M","-","63.67%","143.59%","Rating: Buy4.03","NM","34.72","","","1513845"
"2026-06-01","top_quant","15","NLST","Netlist, Inc.","3.29","7.39%","Rating: Strong Buy4.97","Electronic Manufacturing Services","981.61M","NM","-6.69M","-","43.83%","387.81%","-Rating: Not Covered","-","0.45","","","1282631"
"2026-06-01","top_quant","16","TSEM","Tower Semiconductor Ltd.","246.19","-3.54%","Rating: Strong Buy4.97","Semiconductors","28.77B","118.19","245.36M","-","28.14%","136.08%","Rating: Buy4.00","31.39%","37.48","","","928876"
"2026-06-01","top_quant","17","FLEX","Flex Ltd.","148.14","-1.75%","Rating: Strong Buy4.97","Electronic Manufacturing Services","55.24B","64.71","880.00M","-","66.42%","155.08%","Rating: Hold2.66","28.14%","41.43","","","866374"
"2026-06-01","top_quant","18","VIAV","Viavi Solutions Inc.","47.43","-2.33%","Rating: Strong Buy4.97","Communications Equipment","11.90B","NM","-55.10M","-","6.65%","170.68%","Rating: Hold3.00","44.60%","8.94","","","912093"
"2026-06-01","top_quant","19","POET","POET Technologies Inc.","13.57","10.37%","Rating: Strong Buy4.97","Semiconductors","2.12B","NM","-81.65M","-","86.21%","148.28%","Rating: Hold3.13","-","3.87","","","1437424"
"2026-06-01","top_quant","20","CVGI","Commercial Vehicle Group, Inc.","5.09","-1.17%","Rating: Strong Buy4.97","Construction Machinery & Heavy Transportation Equipment","173.45M","NM","-17.57M","-","29.72%","190.96%","Rating: Hold3.00","14.93%","1.25","","","1290900"
"2026-06-01","top_quant","21","TTMI","TTM Technologies, Inc.","171.50","-1.28%","Rating: Strong Buy4.97","Electronic Manufacturing Services","18.04B","94.47","195.26M","-","26.34%","147.53%","Rating: Hold2.75","33.89%","29.48","","","1116942"
"2026-06-01","top_quant","22","ASX","ASE Technology Holding Co., Ltd.","38.31","-0.10%","Rating: Strong Buy4.96","Semiconductors","85.30B","60.09","1.48B","0.93%","25.37%","156.52%","Rating: Buy3.50","35.00%","9.26","","","1122411"
"2026-06-01","top_quant","23","STRL","Sterling Infrastructure, Inc.","842.77","-2.10%","Rating: Strong Buy4.96","Construction and Engineering","26.42B","76.95","346.65M","-","83.25%","150.02%","Rating: Buy3.80","47.30%","184.06","","","874238"
"2026-06-01","top_quant","24","QTTB","Q32 Bio Inc.","12.28","11.13%","Rating: Strong Buy4.96","Biotechnology","187.37M","4.26","33.24M","-","100.91%","404.57%","Rating: Buy4.00","-","1.35","","","1661998"
"2026-06-01","top_quant","25","TLYS","Tilly's, Inc.","4.49","0.67%","Rating: Strong Buy4.96","Apparel Retail","135.98M","NM","-17.45M","-","13.49%","225.55%","Rating: Hold3.00","NM","1.12","","","1524025"
"2026-06-01","top_quant","26","PENG","Penguin Solutions, Inc.","60.31","8.02%","Rating: Strong Buy4.96","Semiconductors","2.83B","79.90","54.81M","-","95.83%","175.98%","Rating: Hold3.00","16.22%","16.04","","","1616533"
"2026-06-01","top_quant","27","ASYS","Amtech Systems, Inc.","21.01","-1.22%","Rating: Strong Buy4.96","Semiconductor Materials & Equipment","308.40M","124.76","2.45M","-","28.36%","170.96%","Rating: Buy3.50","67.69%","3.90","","","720500"
"2026-06-01","top_quant","28","UCTT","Ultra Clean Holdings, Inc.","83.83","-2.03%","Rating: Strong Buy4.96","Semiconductor Materials & Equipment","3.84B","NM","-194.10M","-","18.83%","237.42%","Rating: Hold3.00","19.05%","19.17","","","1275014"
"2026-06-01","top_quant","29","HIMX","Himax Technologies, Inc.","22.40","8.90%","Rating: Strong Buy4.95","Semiconductors","3.59B","112.32","31.94M","1.23%","79.65%","172.09%","Rating: Hold3.00","24.70%","6.85","","","1342338"
"2026-06-01","top_quant","30","ON","ON Semiconductor Corporation","120.11","-0.42%","Rating: Strong Buy4.95","Semiconductors","47.27B","85.35","573.70M","-","22.01%","140.09%","Rating: Hold2.66","0.57%","41.49","","","1097864"
"2026-06-01","top_quant","31","ELA","Envela Corporation","24.58","-3.46%","Rating: Strong Buy4.95","Other Specialty Retail","661.03M","31.83","20.94M","-","48.98%","120.82%","Rating: Buy4.00","35.91%","5.33","","","701719"
"2026-06-01","top_quant","32","VICR","Vicor Corporation","321.51","-3.98%","Rating: Strong Buy4.95","Electrical Components and Equipment","15.26B","112.03","136.68M","-","30.44%","274.75%","Rating: Buy4.25","126.99%","41.76","","","751978"
"2026-06-01","top_quant","33","CRDO","Credo Technology Group Holding Ltd","233.97","-0.87%","Rating: Strong Buy4.95","Semiconductors","43.54B","129.48","339.77M","-","34.28%","32.90%","Rating: Buy4.03","317.51%","59.88","","","1807794"
"2026-06-01","top_quant","34","AMZN","Amazon.com, Inc.","261.24","-3.47%","Rating: Strong Buy4.95","Broadline Retail","2.91T","32.37","90.80B","-","2.89%","16.04%","Rating: Buy3.95","22.04%","196.00","","","1018724"
"2026-06-01","top_quant","35","ICHR","Ichor Holdings, Ltd.","70.15","-1.92%","Rating: Strong Buy4.95","Semiconductor Materials & Equipment","2.49B","NM","-50.69M","-","12.22%","325.71%","Rating: Strong Buy4.50","52.55%","13.12","","","1652535"
"2026-06-01","top_quant","36","RFIL","RF Industries, Ltd.","17.35","-1.92%","Rating: Strong Buy4.94","Electronic Manufacturing Services","191.30M","711.41","270.00K","-","33.71%","184.41%","Rating: Buy3.50","129.41%","3.98","","","740664"
"2026-06-01","top_quant","37","ONDS","Ondas Inc.","13.38","1.21%","Rating: Strong Buy4.94","Communications Equipment","6.55B","30.22","243.37M","-","39.30%","67.34%","Rating: Buy3.88","NM","1.26","","","1646188"
"2026-06-01","top_quant","38","EQ","Equillium, Inc.","2.88","-0.78%","Rating: Strong Buy4.94","Biotechnology","183.36M","NM","-19.06M","-","39.42%","221.37%","-Rating: Not Covered","-","0.27","","","1746466"
"2026-06-01","top_quant","39","LCUT","Lifetime Brands, Inc.","9.20","7.60%","Rating: Strong Buy4.94","Housewares and Specialties","195.41M","NM","-27.51M","1.99%","28.38%","124.41%","Rating: Hold3.00","-0.89%","2.90","","","874396"
"2026-06-01","top_quant","40","FORM","FormFactor, Inc.","118.60","-4.81%","Rating: Strong Buy4.94","Semiconductor Materials & Equipment","9.71B","143.23","68.34M","-","-8.07%","126.44%","Rating: Strong Buy5.00","32.43%","26.08","","","1039399"
"2026-06-01","top_quant","41","PBR","Petróleo Brasileiro S.A. - Petrobras","18.85","0.40%","Rating: Strong Buy4.94","Integrated Oil and Gas","114.19B","5.16","20.77B","-","-14.10%","49.68%","Rating: Buy3.90","6.92%","11.04","","","1119639"
"2026-06-01","top_quant","42","OSS","One Stop Systems, Inc.","19.60","7.81%","Rating: Strong Buy4.94","Technology Hardware, Storage and Peripherals","450.30M","NM","6.59M","-","106.83%","198.52%","Rating: Buy4.00","NM","2.69","","","1394056"
"2026-06-01","top_quant","43","SILC","Silicom Ltd.","39.68","-1.54%","Rating: Strong Buy4.93","Communications Equipment","229.96M","NM","-11.04M","-","43.26%","168.67%","Rating: Strong Buy4.50","-","13.34","","","916793"
"2026-06-01","top_quant","44","XOM","Exxon Mobil Corporation","148.57","2.28%","Rating: Strong Buy4.93","Integrated Oil and Gas","602.02B","24.46","25.31B","2.84%","-6.08%","25.31%","Rating: Buy3.58","5.14%","101.73","","","34088"
"2026-06-01","top_quant","45","INOD","Innodata Inc.","115.44","9.96%","Rating: Strong Buy4.93","Research and Consulting Services","3.43B","93.56","39.29M","-","162.78%","82.67%","Rating: Buy3.50","37.38%","34.23","","","903651"
"2026-06-01","top_quant","46","BB","BlackBerry Limited","9.67","7.44%","Rating: Strong Buy4.93","Systems Software","5.25B","99.78","53.20M","-","67.29%","120.59%","Rating: Buy4.00","19.38%","3.12","","","1070235"
"2026-06-01","top_quant","47","NDLS","Noodles & Company","12.73","0.99%","Rating: Strong Buy4.93","Restaurants","74.24M","NM","-36.93M","-","4.22%","124.42%","-Rating: Not Covered","25.32%","3.57","","","1275158"
"2026-06-01","top_quant","48","HPE","Hewlett Packard Enterprise Company","45.57","5.88%","Rating: Strong Buy4.93","Technology Hardware, Storage and Peripherals","57.11B","NM","-118.00M","1.32%","52.08%","96.80%","Rating: Buy4.16","11.24%","17.03","","","1645590"
"2026-06-01","top_quant","49","CENX","Century Aluminum Company","65.70","-0.41%","Rating: Strong Buy4.93","Aluminum","6.53B","18.25","347.80M","-","11.85%","120.12%","Rating: Buy4.00","77.99%","16.59","","","949157"
"2026-06-01","top_quant","50","SMTC","Semtech Corporation","148.82","-2.44%","Rating: Strong Buy4.92","Semiconductors","14.21B","NM","-33.16M","-","55.19%","105.69%","Rating: Hold3.00","34.10%","36.10","","","88941"
"2026-06-01","top_quant","51","CNC","Centene Corporation","61.51","3.20%","Rating: Strong Buy4.92","Managed Health Care","29.43B","NM","-6.44B","-","10.41%","51.50%","Rating: Buy3.60","-15.97%","25.08","","","1071739"
"2026-06-01","top_quant","52","PBR.A","Petróleo Brasileiro S.A. - Petrobras","16.84","0.39%","Rating: Strong Buy4.92","Integrated Oil and Gas","114.19B","5.16","20.77B","-","-14.57%","41.04%","Rating: Buy3.87","6.92%","10.33","","","1119639"
"2026-06-01","top_quant","53","MRAM","Everspin Technologies, Inc.","30.48","15.54%","Rating: Strong Buy4.92","Semiconductors","618.55M","2,993.65","284.00K","-","100.00%","228.93%","Rating: Hold3.00","37.54%","5.52","","","1438423"
"2026-06-01","top_quant","54","BTSG","BrightSpring Health Services, Inc.","60.52","-1.88%","Rating: Strong Buy4.92","Health Care Services","12.69B","80.32","309.89M","-","28.10%","70.58%","-Rating: Not Covered","17.17%","19.01","","","1865782"
"2026-06-01","top_quant","55","MYRG","MYR Group Inc.","447.84","-3.70%","Rating: Strong Buy4.92","Construction and Engineering","7.24B","51.19","141.91M","-","37.69%","107.32%","Rating: Buy3.66","45.90%","154.62","","","700923"
"2026-06-01","top_quant","56","CVX","Chevron Corporation","186.19","2.04%","Rating: Strong Buy4.92","Integrated Oil and Gas","360.80B","31.74","11.01B","3.90%","-5.08%","20.73%","Rating: Buy4.16","9.28%","136.43","","","93410"
"2026-06-01","top_quant","57","IMPP","Imperial Petroleum Inc.","5.30","3.72%","Rating: Strong Buy4.91","Oil and Gas Storage and Transportation","231.04M","3.18","66.71M","-","3.44%","8.96%","Rating: Sell2.00","28.41%","2.73","","","1876581"
"2026-06-01","top_quant","58","NEXA","Nexa Resources S.A.","15.88","4.89%","Rating: Strong Buy4.91","Diversified Metals and Mining","2.01B","9.54","210.08M","0.87%","6.92%","116.29%","Rating: Buy4.00","8.06%","4.44","","","1713930"
"2026-06-01","top_quant","59","ANL","Adlai Nortye Ltd.","12.45","4.27%","Rating: Strong Buy4.91","Biotechnology","477.60M","NM","-35.53M","-","-15.26%","650.94%","Rating: Hold3.00","-","0.88","","","1944552"
"2026-06-01","top_quant","60","PUMP","ProPetro Holding Corp.","15.50","1.57%","Rating: Strong Buy4.91","Oil and Gas Equipment and Services","1.87B","NM","-12.42M","-","-16.15%","59.46%","Rating: Hold3.00","5.13%","4.51","","","1680247"
"2026-06-01","top_quant","61","SHEL","Shell plc","85.60","1.76%","Rating: Strong Buy4.91","Integrated Oil and Gas","234.58B","13.11","18.75B","3.71%","-5.39%","14.03%","Rating: Buy3.57","-0.07%","66.82","","","1306965"
"2026-06-01","top_quant","62","BAC","Bank of America Corporation","51.55","-0.11%","Rating: Strong Buy4.91","Diversified Banks","366.18B","12.82","31.73B","2.17%","-2.42%","-3.82%","Rating: Buy3.80","-","43.36","","","70858"
"2026-06-01","top_quant","63","SGML","Sigma Lithium Corporation","16.51","-1.55%","Rating: Strong Buy4.91","Diversified Metals and Mining","1.87B","NM","-43.78M","-","-23.00%","48.28%","Rating: Buy4.25","144.47%","4.25","","","1848309"
"2026-06-01","top_quant","64","TTE","TotalEnergies SE","88.56","1.42%","Rating: Strong Buy4.91","Integrated Oil and Gas","195.10B","13.01","15.09B","4.22%","-5.33%","32.64%","Rating: Buy3.50","2.51%","57.48","","","879764"
"2026-06-01","top_quant","65","UNFI","United Natural Foods, Inc.","51.53","0.35%","Rating: Strong Buy4.90","Food Distributors","3.12B","NM","-78.00M","-","4.97%","37.63%","Rating: Buy3.75","13.01%","20.78","","","1020859"
"2026-06-01","top_quant","66","APPS","Digital Turbine, Inc.","9.38","6.83%","Rating: Strong Buy4.90","Application Software","1.06B","NM","-37.73M","-","160.53%","83.30%","Rating: Hold3.00","34.52%","2.74","","","317788"
"2026-06-01","top_quant","67","COHU","Cohu, Inc.","53.30","1.04%","Rating: Strong Buy4.90","Semiconductor Materials & Equipment","2.49B","NM","-55.54M","-","17.98%","116.90%","Rating: Hold3.00","164.24%","16.95","","","21535"
"2026-06-01","top_quant","68","FATN","FatPipe, Inc.","7.51","-5.69%","Rating: Strong Buy4.90","Application Software","111.63M","22.74","4.97M","-","220.97%","181.27%","-Rating: Not Covered","-","1.31","","","1993400"
"2026-06-01","top_quant","69","SNEX","StoneX Group Inc.","114.89","1.36%","Rating: Strong Buy4.90","Investment Banking and Brokerage","8.98B","20.06","462.40M","-","9.36%","87.64%","-Rating: Not Covered","-","53.52","","","913760"
"2026-06-01","top_quant","70","CSTM","Constellium SE","34.35","0.26%","Rating: Strong Buy4.90","Aluminum","4.66B","11.13","435.00M","-","6.30%","103.81%","Rating: Buy4.33","15.75%","12.11","","","1563411"
"2026-06-01","top_quant","71","SEZL","Sezzle Inc.","120.97","2.39%","Rating: Strong Buy4.90","Transaction & Payment Processing Services","3.97B","28.26","148.27M","-","54.36%","91.34%","Rating: Strong Buy4.75","55.20%","49.50","","","1662991"
"2026-06-01","top_quant","72","LQDA","Liquidia Corporation","59.59","-3.67%","Rating: Strong Buy4.89","Pharmaceuticals","5.50B","253.39","22.31M","-","62.15%","89.58%","Rating: Sell2.00","NM","11.85","","","1819576"
"2026-06-01","top_quant","73","SYNA","Synaptics Incorporated","135.25","-1.48%","Rating: Strong Buy4.89","Semiconductors","5.30B","NM","-48.10M","-","55.05%","100.38%","Rating: Hold3.00","21.32%","58.06","","","817720"
"2026-06-01","top_quant","74","RLYB","Rallybio Corporation","17.25","19.26%","Rating: Strong Buy4.89","Biotechnology","76.49M","NM","-7.82M","-","62.84%","177.61%","-Rating: Not Covered","-","2.16","","","1739410"
"2026-06-01","top_quant","75","FATE","Fate Therapeutics, Inc.","2.67","-5.99%","Rating: Strong Buy4.89","Biotechnology","331.03M","NM","-129.91M","-","129.03%","149.12%","Rating: Hold3.00","NM","0.91","","","1434316"
"2026-06-01","top_quant","76","VNCE","Vince Holding Corp.","4.49","1.81%","Rating: Strong Buy4.89","Apparel, Accessories and Luxury Goods","56.66M","9.00","6.38M","-","-4.55%","74.31%","-Rating: Not Covered","20.04%","1.02","","","1579157"
"2026-06-01","top_quant","77","SANM","Sanmina Corporation","264.08","1.67%","Rating: Strong Buy4.89","Electronic Manufacturing Services","13.92B","55.02","259.61M","-","24.47%","66.32%","Rating: Buy3.60","33.82%","84.00","","","897723"
"2026-06-01","top_quant","78","DIOD","Diodes Incorporated","102.91","-2.29%","Rating: Strong Buy4.89","Semiconductors","4.84B","56.92","85.54M","-","4.28%","127.92%","Rating: Hold3.00","-","42.28","","","29002"
"2026-06-01","top_quant","79","E","Eni S.p.A.","53.53","2.63%","Rating: Strong Buy4.88","Integrated Oil and Gas","77.28B","25.00","2.90B","4.84%","-5.92%","39.39%","Rating: Hold3.00","5.47%","29.97","","","1002242"
"2026-06-01","top_quant","80","ARW","Arrow Electronics, Inc.","214.65","0.01%","Rating: Strong Buy4.88","Technology Distributors","10.97B","15.36","726.65M","-","15.40%","98.71%","Rating: Hold3.00","17.96%","101.79","","","7536"
"2026-06-01","top_quant","81","CEVA","CEVA, Inc.","44.28","10.76%","Rating: Strong Buy4.88","Semiconductors","1.11B","NM","-11.77M","-","46.13%","85.18%","Rating: Hold3.00","25.41%","17.02","","","1173489"
"2026-06-01","top_quant","82","TGSNF","TGS ASA","15.72","0.00%","Rating: Strong Buy4.88","Oil and Gas Equipment and Services","3.21B","NM","-2.00M","3.94%","-2.12%","83.64%","Rating: Hold3.00","13.68%","7.00","","",""
"2026-06-01","top_quant","83","GLNCY","Glencore plc","15.75","3.86%","Rating: Strong Buy4.88","Diversified Metals and Mining","89.59B","254.90","363.00M","2.24%","0.13%","59.08%","Rating: Hold3.00","11.65%","7.40","","",""
"2026-06-01","top_quant","84","NTOIY","Neste Oyj","17.35","5.44%","Rating: Strong Buy4.88","Oil and Gas Refining and Marketing","25.24B","30.58","828.71M","0.70%","-4.22%","68.89%","Rating: Hold3.00","38.84%","5.18","","",""
"2026-06-01","top_quant","85","QTRHF","Quarterhill Inc.","1.51","-2.71%","Rating: Strong Buy4.88","Communications Equipment","186.20M","NM","-51.29M","-","44.86%","133.66%","-Rating: Not Covered","376.94%","0.64","","",""
"2026-06-01","top_quant","86","PBF","PBF Energy Inc.","42.68","4.86%","Rating: Strong Buy4.87","Oil and Gas Refining and Marketing","4.85B","10.66","441.60M","2.70%","-5.63%","18.04%","Rating: Hold3.00","167.30%","17.53","","",""
"2026-06-01","top_quant","87","DAR","Darling Ingredients Inc.","60.66","2.64%","Rating: Strong Buy4.87","Agricultural Products & Services","9.39B","42.89","223.28M","-","-5.89%","61.43%","Rating: Buy3.50","18.92%","29.15","","","916540"
"2026-06-01","top_quant","88","VLO","Valero Energy Corporation","254.00","3.75%","Rating: Strong Buy4.87","Oil and Gas Refining and Marketing","72.70B","17.81","4.21B","1.96%","-2.58%","38.50%","Rating: Buy4.20","18.50%","125.10","","","1035002"
"2026-06-01","top_quant","89","LNVGY","Lenovo Group Limited","66.00","7.14%","Rating: Strong Buy4.87","Technology Hardware, Storage and Peripherals","37.99B","22.02","1.91B","2.79%","105.43%","146.70%","Rating: Buy4.00","13.49%","21.00","","",""
"2026-06-01","top_quant","90","SSSS","SuRo Capital Corp.","13.95","0.50%","Rating: Strong Buy4.87","Asset Management and Custody Banks","361.85M","2.03","205.25M","-","5.55%","50.05%","-Rating: Not Covered","-","6.23","","","1509470"
"2026-06-01","top_quant","91","TWLO","Twilio Inc.","223.37","17.17%","Rating: Strong Buy4.87","Internet Services and Infrastructure","28.93B","290.88","103.96M","-","35.29%","47.00%","Rating: Hold3.20","14.92%","91.84","","","1447669"
"2026-06-01","top_quant","92","LYB","LyondellBasell Industries N.V.","67.20","1.88%","Rating: Strong Buy4.87","Commodity Chemicals","21.51B","NM","-797.00M","4.14%","-9.06%","36.05%","Rating: Hold3.42","3.59%","41.58","","","1489393"
"2026-06-01","top_quant","93","INTT","InTest Corporation","16.79","-0.33%","Rating: Strong Buy4.86","Semiconductor Materials & Equipment","209.85M","416.03","591.00K","-","0.48%","108.93%","-Rating: Not Covered","10.22%","6.09","","","1036262"
"2026-06-01","top_quant","94","MPC","Marathon Petroleum Corporation","258.81","4.04%","Rating: Strong Buy4.86","Oil and Gas Refining and Marketing","72.63B","16.20","4.63B","1.61%","2.88%","28.41%","Rating: Hold3.25","10.82%","155.93","","","1510295"
"2026-06-01","top_quant","95","FBIO","Fortress Biotech, Inc.","2.73","-2.46%","Rating: Strong Buy4.86","Biotechnology","93.01M","0.73","127.77M","-","26.13%","-0.71%","Rating: Strong Buy5.00","NM","1.70","","","1429260"
"2026-06-01","top_quant","96","DDD","3D Systems Corporation","3.67","2.66%","Rating: Strong Buy4.86","Industrial Machinery & Supplies & Components","524.60M","9.72","62.45M","-","65.28%","71.63%","Rating: Hold3.00","NM","1.32","","","910638"
"2026-06-01","top_quant","97","FDX","FedEx Corporation","334.77","0.97%","Rating: Strong Buy4.86","Air Freight and Logistics","98.25B","21.91","4.48B","1.41%","5.96%","49.36%","Rating: Hold3.20","4.41%","214.82","","","1048911"
"2026-06-01","top_quant","98","PDFS","PDF Solutions, Inc.","51.89","6.27%","Rating: Strong Buy4.86","Semiconductor Materials & Equipment","2.04B","269.36","7.18M","-","22.08%","80.18%","Rating: Hold3.00","-","17.43","","","1120914"
"2026-06-01","top_quant","99","NHYDY","Norsk Hydro ASA ADR","12.43","1.68%","Rating: Strong Buy4.86","Aluminum","24.06B","38.11","632.10M","2.64%","10.23%","69.32%","Rating: Hold3.00","21.71%","5.37","","",""
"2026-06-01","top_quant","100","CVE","Cenovus Energy Inc.","28.02","1.61%","Rating: Strong Buy4.85","Integrated Oil and Gas","51.65B","15.22","3.34B","2.32%","-4.10%","54.37%","Rating: Buy4.00","15.28%","12.88","","","1475260"
