"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Market Cap","P/E TTM","NET Income TTM","Yield FWD","1M Perf","6M Perf","SA Analyst Ratings","EBITDA FWD","52W Range","",""
"2026-06-01","top_technology","49","BLZE","Backblaze, Inc.","8.83","6.58%","Rating: Strong Buy4.85","Internet Services and Infrastructure","496.92M","NM","-22.44M","-","98.09%","74.68%","Rating: Hold3.00","49.07%","3.26","",""
"2026-06-01","top_technology","50","MCHP","Microchip Technology Incorporated","91.13","-3.72%","Rating: Strong Buy4.84","Semiconductors","51.31B","430.55","230.00M","1.92%","4.97%","76.65%","Rating: Buy4.00","27.05%","48.52","",""
"2026-06-01","top_technology","51","PLTR","Palantir Technologies Inc.","161.85","3.39%","Rating: Strong Buy4.83","Application Software","375.28B","175.97","2.28B","-","13.46%","-7.07%","Rating: Buy3.79","80.42%","118.93","",""
"2026-06-01","top_technology","52","EXTR","Extreme Networks, Inc.","27.68","4.41%","Rating: Strong Buy4.83","Communications Equipment","3.47B","220.55","16.27M","-","21.33%","51.49%","Rating: Hold3.00","40.18%","13.48","",""
"2026-06-01","top_technology","53","OKTA","Okta, Inc.","139.09","12.83%","Rating: Strong Buy4.83","Internet Services and Infrastructure","21.43B","89.26","247.00M","-","61.86%","53.45%","Rating: Buy3.66","17.04%","62.66","",""
"2026-06-01","top_technology","54","AVT","Avnet, Inc.","86.39","-0.62%","Rating: Strong Buy4.82","Technology Distributors","7.13B","34.00","213.90M","1.61%","6.62%","82.97%","-Rating: Not Covered","6.38%","44.25","",""
"2026-06-01","top_technology","55","LASR","nLIGHT, Inc.","71.90","-3.00%","Rating: Strong Buy4.81","Electronic Equipment and Instruments","4.18B","NM","-14.73M","-","14.08%","110.39%","Rating: Buy3.66","NM","15.05","",""
"2026-06-01","top_technology","56","CXDO","Crexendo, Inc.","10.20","3.24%","Rating: Strong Buy4.80","Internet Services and Infrastructure","320.26M","70.78","4.48M","-","50.61%","41.55%","Rating: Strong Buy4.66","28.39%","5.13","",""
"2026-06-01","top_technology","57","KEYS","Keysight Technologies, Inc.","328.71","-2.84%","Rating: Strong Buy4.80","Electronic Equipment and Instruments","57.85B","54.45","1.05B","-","0.86%","70.92%","Rating: Buy3.50","22.48%","152.85","",""
"2026-06-01","top_technology","58","CGNT","Cognyte Software Ltd.","12.23","5.70%","Rating: Strong Buy4.77","Application Software","845.52M","NM","-638.00K","-","21.92%","37.74%","Rating: Buy4.00","47.89%","6.29","",""
"2026-06-01","top_technology","59","FSLY","Fastly, Inc.","19.02","7.06%","Rating: Strong Buy4.76","Internet Services and Infrastructure","2.78B","NM","-103.05M","-","-32.68%","52.36%","Rating: Buy3.85","70.91%","6.29","",""
"2026-06-01","top_technology","60","ROG","Rogers Corporation","142.78","0.89%","Rating: Strong Buy4.74","Electronic Components","2.53B","NM","-55.90M","-","11.13%","68.86%","Rating: Hold3.00","10.85%","61.17","",""
"2026-06-01","top_technology","61","ADTN","ADTRAN Holdings, Inc.","17.84","7.79%","Rating: Strong Buy4.73","Communications Equipment","1.34B","NM","-35.71M","-","-1.43%","108.70%","Rating: Hold3.00","32.63%","7.11","",""
"2026-06-01","top_technology","62","FN","Fabrinet","623.12","-4.75%","Rating: Strong Buy4.71","Electronic Manufacturing Services","23.44B","56.19","420.97M","-","1.66%","42.39%","Rating: Hold2.66","26.50%","230.50","",""
"2026-06-01","top_technology","63","OUST","Ouster, Inc.","44.71","-2.91%","Rating: Strong Buy4.68","Electronic Equipment and Instruments","2.93B","NM","-55.83M","-","80.31%","100.57%","Rating: Buy3.50","NM","11.87","",""
"2026-06-01","top_technology","64","VLN","Valens Semiconductor Ltd.","3.40","-3.68%","Rating: Strong Buy4.68","Semiconductors","371.68M","NM","-31.57M","-","133.77%","120.63%","Rating: Sell2.00","NM","1.10","",""
"2026-06-01","top_technology","65","INVE","Identiv, Inc.","4.07","-0.73%","Rating: Strong Buy4.62","Electronic Equipment and Instruments","98.19M","NM","-16.66M","-","-11.64%","21.66%","-Rating: Not Covered","NM","3.08","",""
"2026-06-01","top_technology","66","MTLS","Materialise NV","6.98","4.65%","Rating: Strong Buy4.61","Application Software","389.78M","33.94","11.64M","-","27.53%","10.61%","Rating: Buy4.00","17.07%","4.78","",""
"2026-06-01","top_technology","67","ANET","Arista Networks, Inc.","170.30","6.79%","Rating: Strong Buy4.58","Communications Equipment","200.81B","54.80","3.72B","-","-5.46%","22.03%","Rating: Buy4.00","26.59%","85.58","",""
"2026-06-01","top_technology","68","FUJIY","FUJIFILM Holdings Corporation","10.52","1.54%","Rating: Strong Buy4.54","Technology Hardware, Storage and Peripherals","24.94B","14.43","1.74B","-","15.50%","-3.27%","Rating: Hold3.00","6.36%","8.93","",""
"2026-06-01","top_technology","69","P","Everpure, Inc.","84.37","6.11%","Rating: Strong Buy4.52","Technology Hardware, Storage and Peripherals","26.41B","122.30","226.25M","-","13.08%","-10.62%","Rating: Buy3.50","21.79%","50.20","",""
"2026-06-01","top_technology","70","SNPS","Synopsys, Inc.","491.06","3.25%","Rating: Strong Buy4.51","Application Software","91.07B","112.65","773.27M","-","-1.16%","13.78%","Rating: Buy4.00","18.77%","376.18","",""
"2026-06-01","top_technology","71","TSSI","TSS, Inc.","15.86","-3.76%","Rating: Buy4.48","IT Consulting and Other Services","462.66M","31.96","14.42M","-","16.14%","71.13%","Rating: Hold3.00","-","6.87","",""
"2026-06-01","top_technology","72","APP","AppLovin Corporation","610.33","-0.45%","Rating: Buy4.47","Application Software","205.96B","53.31","3.96B","-","38.26%","2.27%","Rating: Buy4.06","49.04%","320.00","",""
"2026-06-01","top_technology","73","MITK","Mitek Systems, Inc.","17.83","3.78%","Rating: Buy4.40","Application Software","775.83M","50.22","16.56M","-","26.23%","93.91%","Rating: Buy4.00","13.75%","8.53","",""
"2026-06-01","top_technology","74","OOMA","Ooma, Inc.","18.35","3.97%","Rating: Buy4.38","Application Software","484.93M","53.84","9.18M","-","9.63%","57.03%","Rating: Buy4.00","31.13%","9.79","",""
"2026-06-01","top_technology","75","RDVT","Red Violet, Inc.","57.17","0.58%","Rating: Buy4.36","Application Software","801.95M","58.60","14.10M","-","50.49%","4.89%","Rating: Buy3.50","22.60%","33.40","",""
"2026-06-01","top_technology","76","CODA","Coda Octopus Group, Inc.","13.05","4.07%","Rating: Buy4.35","Electronic Equipment and Instruments","141.40M","34.00","4.15M","-","14.21%","42.82%","Rating: Buy4.00","32.36%","5.98","",""
"2026-06-01","top_technology","77","KYOCY","Kyocera Corporation","22.56","1.99%","Rating: Buy4.34","Electronic Components","28.81B","33.80","888.20M","-","32.69%","62.00%","-Rating: Not Covered","12.60%","10.58","",""
"2026-06-01","top_technology","78","NVMI","Nova Ltd.","478.75","-4.69%","Rating: Buy4.33","Semiconductor Materials & Equipment","15.97B","63.03","263.66M","-","0.17%","60.57%","Rating: Buy3.50","29.34%","206.42","",""
"2026-06-01","top_technology","79","ALGM","Allegro MicroSystems, Inc.","47.11","-1.59%","Rating: Buy4.32","Semiconductors","8.91B","NM","-14.90M","-","8.62%","79.36%","Rating: Sell2.00","47.91%","22.41","",""
"2026-06-01","top_technology","80","QBTS","D-Wave Quantum Inc.","30.07","-0.23%","Rating: Buy4.32","Application Software","11.15B","NM","-368.00M","-","64.97%","32.95%","Rating: Hold3.00","NM","12.75","",""
"2026-06-01","top_technology","81","TEAM","Atlassian Corporation","116.76","8.50%","Rating: Buy4.31","Application Software","27.31B","NM","-216.81M","-","52.66%","-28.03%","Rating: Buy4.00","26.61%","56.01","",""
"2026-06-01","top_technology","82","RBRK","Rubrik, Inc.","84.59","7.58%","Rating: Buy4.28","Systems Software","16.18B","NM","-348.83M","-","46.48%","13.43%","Rating: Buy4.00","NM","42.25","",""
"2026-06-01","top_technology","83","S","SentinelOne, Inc.","18.01","8.79%","Rating: Buy4.22","Systems Software","5.67B","NM","-318.71M","-","12.59%","2.10%","Rating: Buy4.11","NM","11.81","",""
"2026-06-01","top_technology","84","ESTC","Elastic N.V.","66.58","2.91%","Rating: Buy4.21","Application Software","6.78B","18.86","367.77M","-","36.50%","-8.27%","Rating: Strong Buy4.50","25.47%","42.05","",""
"2026-06-01","top_technology","85","GNSS","Genasys Inc.","2.14","-0.42%","Rating: Buy4.14","Communications Equipment","97.21M","NM","-7.99M","-","13.76%","-3.59%","-Rating: Not Covered","NM","1.40","",""
"2026-06-01","top_technology","86","DSGX","The Descartes Systems Group Inc.","78.90","6.95%","Rating: Buy4.14","Application Software","6.34B","39.45","163.77M","-","2.00%","-10.50%","Rating: Hold3.00","13.99%","62.56","",""
"2026-06-01","top_technology","87","ONTO","Onto Innovation Inc.","256.05","-0.85%","Rating: Buy4.14","Semiconductor Materials & Equipment","12.85B","120.12","106.41M","-","-9.18%","80.39%","Rating: Buy3.50","20.10%","89.40","",""
"2026-06-01","top_technology","88","AIRG","Airgain, Inc.","7.18","3.01%","Rating: Buy4.00","Electronic Components","88.35M","NM","-6.78M","-","-0.14%","71.25%","-Rating: Not Covered","NM","3.00","",""
