Date,Type,Rank,Symbol,Company Name,Quant,SA Analyst Ratings,Wall Street Ratings,Market Cap,Div Yield,Valuation,Growth,Profitability,Momentum,EPS Rev.
2023-12-01,top_rated_overall,11,YALA,Yalla Group Limited,RATING: STRONG BUY4.88,RATING: BUY4.00,RATING: BUY4.00,928.95M,-,B,A-,A-,A+,A
2023-12-01,top_rated_overall,12,HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,RATING: STRONG BUY4.87,RATING: STRONG BUY5.00,RATING: STRONG BUY4.66,567.24M,-,B+,A+,B,A+,B+
2023-12-01,top_rated_overall,13,STRL,"Sterling Infrastructure, Inc.",RATING: STRONG BUY4.86,RATING: BUY4.14,RATING: STRONG BUY5.00,2.27B,-,B,B+,A-,A+,A+
2023-12-01,top_rated_overall,14,ORAN,Orange S.A.,RATING: STRONG BUY4.84,RATING: BUY4.00,RATING: STRONG BUY4.50,32.04B,6.24%,B+,B-,A+,B+,A+
2023-12-01,top_rated_overall,15,ICAGY,International Consolidated Airlines Group S.A.,RATING: STRONG BUY4.84,RATING: BUY4.00,RATING: STRONG BUY5.00,9.84B,-,A+,B+,A+,B-,A-
2023-12-01,top_rated_overall,16,BELFB,Bel Fuse Inc.,RATING: STRONG BUY4.84,RATING: BUY3.66,RATING: STRONG BUY4.50,782.39M,0.46%,B-,A-,A-,A,A-
2023-12-01,top_rated_overall,17,EG,"Everest Group, Ltd.",RATING: STRONG BUY4.84,RATING: BUY4.00,RATING: BUY4.36,16.95B,1.72%,B+,A+,A,B,A
2023-12-01,top_rated_overall,18,UVE,"Universal Insurance Holdings, Inc.",RATING: STRONG BUY4.83,RATING: BUY4.00,RATING: BUY4.00,477.77M,3.94%,A,A,B+,A-,A
2023-12-01,top_rated_overall,19,FITB,Fifth Third Bancorp,RATING: STRONG BUY4.83,RATING: BUY3.75,RATING: BUY4.04,20.85B,4.39%,B,B,A-,B-,A+
2023-12-01,top_rated_overall,20,GBOOY,"Grupo Financiero Banorte, S.A.B. de C.V.",RATING: STRONG BUY4.83,RATING: BUY4.00,RATING: STRONG BUY5.00,27.70B,10.87%,A,A-,A,B+,A+
2023-12-01,top_rated_overall,21,CCAP,"Crescent Capital BDC, Inc.",RATING: STRONG BUY4.82,RATING: BUY4.00,RATING: BUY4.20,628.01M,9.69%,A,B+,A-,B+,A-
2023-12-01,top_rated_overall,22,VST,Vistra Corp.,RATING: STRONG BUY4.81,RATING: BUY3.66,RATING: BUY4.40,13.19B,2.14%,A-,A,A+,A+,A-
2023-12-01,top_rated_overall,23,GBDC,Golub Capital BDC,RATING: STRONG BUY4.78,RATING: BUY3.50,RATING: BUY3.80,2.51B,9.43%,A-,B-,A,B,A
2023-12-01,top_rated_overall,24,CNC,Centene Corporation,RATING: STRONG BUY4.78,RATING: BUY3.66,RATING: BUY3.94,39.66B,-,A-,B-,A+,A-,B
2023-12-01,top_rated_overall,25,ZYME,Zymeworks Inc.,RATING: STRONG BUY4.76,RATING: BUY4.00,RATING: BUY4.36,646.12M,-,A+,A-,A+,A,B-
2023-12-01,top_rated_overall,26,SPOK,"Spok Holdings, Inc.",RATING: STRONG BUY4.76,RATING: BUY4.00,RATING: STRONG BUY5.00,289.13M,8.64%,B,B,B,A,A
2023-12-01,top_rated_overall,27,OBDC,Blue Owl Capital Corporation,RATING: STRONG BUY4.75,RATING: BUY3.87,RATING: BUY4.33,5.80B,8.79%,A-,A-,A,A-,B+
2023-12-01,top_rated_overall,28,BLBD,Blue Bird Corporation,RATING: STRONG BUY4.73,RATING: BUY4.33,RATING: STRONG BUY4.66,761.03M,-,B,B+,A-,A,A+
2023-12-01,top_rated_overall,29,LBRT,Liberty Energy Inc.,RATING: STRONG BUY4.72,RATING: BUY3.50,RATING: BUY3.81,3.00B,1.24%,A-,A+,B,A-,B
2023-12-01,top_rated_overall,30,LI,Li Auto Inc.,RATING: STRONG BUY4.72,RATING: BUY3.80,RATING: STRONG BUY4.62,34.66B,-,B+,A+,A+,A-,B+
2023-12-01,top_rated_overall,31,TARO,Taro Pharmaceutical Industries Ltd.,RATING: STRONG BUY4.70,RATING: BUY4.00,RATING: BUY4.00,1.43B,-,A-,A,A,A-,A+
2023-12-01,top_rated_overall,32,SILV,SilverCrest Metals Inc.,RATING: STRONG BUY4.68,RATING: BUY4.00,RATING: BUY3.85,890.36M,-,B,B+,A,A-,A+
2023-12-01,top_rated_overall,33,NMIH,"NMI Holdings, Inc.",RATING: STRONG BUY4.64,RATING: BUY4.00,RATING: BUY4.20,2.30B,-,B-,A,A-,B+,B+
2023-12-01,top_rated_overall,34,STNG,Scorpio Tankers Inc.,RATING: STRONG BUY4.63,RATING: BUY4.33,RATING: STRONG BUY4.66,2.64B,1.97%,B-,A+,A+,B,B
2023-12-01,top_rated_overall,35,EPRT,"Essential Properties Realty Trust, Inc.",RATING: STRONG BUY4.60,RATING: BUY3.85,RATING: STRONG BUY4.50,3.83B,4.50%,B-,A+,A+,B,B+
2023-12-01,top_rated_overall,36,TRIN,Trinity Capital Inc.,RATING: STRONG BUY4.59,RATING: BUY3.50,RATING: STRONG BUY4.50,642.61M,13.92%,A+,A+,A-,B+,B-
2023-12-01,top_rated_overall,37,JBI,"Janus International Group, Inc.",RATING: STRONG BUY4.58,RATING: BUY3.66,RATING: STRONG BUY4.50,1.62B,-,B,B,B+,B-,A-
2023-12-01,top_rated_overall,38,ALKS,Alkermes plc,RATING: STRONG BUY4.55,RATING: BUY4.00,RATING: BUY3.83,4.44B,-,B-,A+,A,B-,A-
2023-12-01,top_rated_overall,39,SM,SM Energy Company,RATING: STRONG BUY4.54,RATING: BUY4.00,RATING: BUY3.84,4.14B,1.74%,B-,B,B-,B,A-
2023-12-01,top_rated_overall,40,SYF,Synchrony Financial,RATING: STRONG BUY4.51,RATING: BUY4.33,RATING: BUY3.50,14.67B,2.70%,A-,A-,A+,B-,B-
2023-12-01,top_rated_overall,41,PGTI,"PGT Innovations, Inc.",RATING: BUY4.44,RATING: BUY4.00,RATING: STRONG BUY4.50,1.90B,-,B-,B+,B-,A+,B
2023-12-01,top_rated_overall,42,DESP,"Despegar.com, Corp.",RATING: BUY4.42,RATING: BUY4.00,RATING: STRONG BUY4.60,568.08M,-,B-,A-,B+,A,B+
2023-12-01,top_rated_overall,43,PAGS,PagSeguro Digital Ltd.,RATING: BUY4.39,RATING: BUY4.00,RATING: BUY3.88,3.36B,-,A-,B,B,B+,B
2023-12-01,top_rated_overall,44,AEG,Aegon Ltd.,RATING: BUY4.17,RATING: BUY4.00,RATING: BUY3.50,10.47B,4.93%,A-,B,B,A-,B-
2023-12-01,top_rated_overall,45,KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",RATING: BUY4.16,RATING: BUY4.00,RATING: BUY3.84,18.89B,3.61%,B,B,B+,A-,B
2023-12-01,top_rated_overall,46,TKC,Turkcell Iletisim Hizmetleri A.S.,RATING: BUY4.10,RATING: BUY4.00,RATING: STRONG BUY5.00,4.19B,-,A+,A,B,B,B-
2023-12-01,top_rated_overall,47,ARCT,Arcturus Therapeutics Holdings Inc.,RATING: BUY4.10,RATING: BUY3.50,RATING: BUY4.22,627.20M,-,A,A-,A+,B+,B
2023-12-01,top_rated_overall,48,CRRFY,Carrefour SA,RATING: BUY4.04,RATING: BUY3.50,RATING: STRONG BUY4.50,12.86B,3.24%,A,B,A-,B,B-
2023-12-01,top_rated_overall,49,SLVM,Sylvamo Corporation,RATING: BUY3.92,RATING: BUY4.00,RATING: BUY4.00,2.17B,2.07%,B+,A+,B+,A-,B+
2023-12-01,top_quant,1,DERM,Journey Medical Corporation,RATING: STRONG BUY4.99,RATING: BUY4.00,RATING: STRONG BUY4.50,113.64M,-,B,B+,B+,A+,A+
2023-12-01,top_quant,2,ANF,Abercrombie & Fitch Co.,RATING: STRONG BUY4.99,RATING: HOLD2.50,RATING: BUY3.66,4.11B,-,C-,A+,B+,A+,A
2023-12-01,top_quant,3,VIRC,Virco Mfg. Corporation,RATING: STRONG BUY4.99,RATING: SELL2.00,RATING: STRONG BUY5.00,149.90M,-,A,A+,B-,A+,A+
2023-12-01,top_quant,4,META,"Meta Platforms, Inc.",RATING: STRONG BUY4.99,RATING: BUY3.62,RATING: STRONG BUY4.52,858.62B,-,D,B+,A+,A+,A-
2023-12-01,top_quant,5,CASI,"CASI Pharmaceuticals, Inc.",RATING: STRONG BUY4.99,-RATING: NOT COVERED,RATING: BUY4.00,97.78M,-,C+,A-,C,A+,A+
2023-12-01,top_quant,6,MYO,"Myomo, Inc.",RATING: STRONG BUY4.99,RATING: STRONG BUY5.00,RATING: STRONG BUY4.50,111.10M,-,D+,B+,C+,A+,A-
2023-12-01,top_quant,7,FG,"F&G Annuities & Life, Inc.",RATING: STRONG BUY4.99,RATING: BUY3.50,RATING: HOLD3.00,5.73B,1.27%,B+,C+,A,A+,A+
2023-12-01,top_quant,8,BWAY,BrainsWay Ltd.,RATING: STRONG BUY4.99,RATING: BUY3.66,RATING: STRONG BUY4.75,98.67M,-,C+,A,B,A+,A
2023-12-01,top_quant,9,RYCEY,Rolls-Royce Holdings plc,RATING: STRONG BUY4.98,RATING: BUY4.00,RATING: BUY4.33,32.03B,-,C+,A,A+,A+,A+
2023-12-01,top_quant,10,MPTI,"M-tron Industries, Inc.",RATING: STRONG BUY4.98,RATING: BUY4.00,-RATING: NOT COVERED,79.15M,-,B,A,B+,A+,A
2023-12-01,top_quant,11,ELTK,Eltek Ltd.,RATING: STRONG BUY4.98,-RATING: NOT COVERED,RATING: STRONG BUY5.00,83.07M,1.54%,C+,C+,B+,A+,A+
2023-12-01,top_quant,12,LMB,"Limbach Holdings, Inc.",RATING: STRONG BUY4.98,RATING: BUY3.75,RATING: STRONG BUY4.50,464.89M,-,C+,A-,B,A+,A
2023-12-01,top_quant,13,TZOO,Travelzoo,RATING: STRONG BUY4.98,RATING: BUY4.00,RATING: STRONG BUY4.66,144.05M,-,C-,A+,A+,A+,A
2023-12-01,top_quant,14,ISNPY,Intesa Sanpaolo S.p.A.,RATING: STRONG BUY4.98,RATING: BUY4.00,RATING: HOLD3.00,52.81B,8.71%,A+,A+,A+,B+,A+
2023-12-01,top_quant,15,AAOI,"Applied Optoelectronics, Inc.",RATING: STRONG BUY4.98,RATING: HOLD3.40,RATING: BUY4.33,675.78M,-,C-,B-,D+,A+,B-
2023-12-01,top_quant,16,CLS,Celestica Inc.,RATING: STRONG BUY4.98,RATING: BUY3.71,RATING: BUY4.28,3.28B,-,A-,B,B-,A+,A-
2023-12-01,top_quant,17,GASS,StealthGas Inc.,RATING: STRONG BUY4.97,RATING: BUY4.00,RATING: BUY4.00,214.68M,-,A-,C-,C,A+,A
2023-12-01,top_quant,18,METC,"Ramaco Resources, Inc.",RATING: STRONG BUY4.97,RATING: HOLD3.33,RATING: STRONG BUY5.00,803.06M,2.92%,B,A-,B-,A+,A
2023-12-01,top_quant,19,NEPH,"Nephros, Inc.",RATING: STRONG BUY4.97,-RATING: NOT COVERED,RATING: BUY4.00,27.89M,-,D+,C-,D+,A+,A
2023-12-01,top_quant,20,GIII,"G-III Apparel Group, Ltd.",RATING: STRONG BUY4.97,RATING: HOLD3.00,RATING: HOLD3.33,1.54B,-,A-,C-,B-,A+,A
2023-12-01,top_quant,21,GCT,GigaCloud Technology Inc.,RATING: STRONG BUY4.97,RATING: BUY3.50,RATING: STRONG BUY4.66,580.03M,-,A-,A-,A-,A+,A+
2023-12-01,top_quant,22,LPG,Dorian LPG Ltd.,RATING: STRONG BUY4.97,RATING: HOLD3.00,RATING: BUY3.71,1.52B,10.53%,B+,B-,B+,A+,A
2023-12-01,top_quant,23,PNT,POINT Biopharma Global Inc.,RATING: STRONG BUY4.97,RATING: HOLD2.50,RATING: HOLD3.44,1.51B,-,C,B+,A+,A+,A+
2023-12-01,top_quant,24,CVNA,Carvana Co.,RATING: STRONG BUY4.97,RATING: HOLD2.61,RATING: HOLD2.73,8.01B,-,D+,C-,D+,A+,A-
2023-12-01,top_quant,25,MEIP,"MEI Pharma, Inc.",RATING: STRONG BUY4.97,-RATING: NOT COVERED,RATING: BUY4.00,44.77M,-,A+,C,A+,A,A
2023-12-01,top_quant,26,WEDXF,The Westaim Corporation,RATING: STRONG BUY4.96,RATING: BUY4.00,RATING: BUY4.00,374.76M,-,A+,B-,A+,A,A
2023-12-01,top_quant,27,TAST,"Carrols Restaurant Group, Inc.",RATING: STRONG BUY4.96,RATING: BUY4.00,RATING: STRONG BUY5.00,413.33M,0.25%,D,B-,C-,A+,A
2023-12-01,top_quant,28,HCI,"HCI Group, Inc.",RATING: STRONG BUY4.96,RATING: HOLD3.00,RATING: BUY4.40,857.35M,1.84%,D,A+,B,A+,A+
2023-12-01,top_quant,29,GOOG,Alphabet Inc.,RATING: STRONG BUY4.96,RATING: BUY3.70,RATING: BUY4.42,1.66T,-,D,B,A+,A-,B+
2023-12-01,top_quant,30,GOOGL,Alphabet Inc.,RATING: STRONG BUY4.96,RATING: BUY3.90,RATING: BUY4.42,1.66T,-,D,B,A+,A-,B+
2023-12-01,top_quant,31,FMCC,Federal Home Loan Mortgage Corporation,RATING: STRONG BUY4.96,-RATING: NOT COVERED,RATING: SELL1.50,2.12B,-,A+,A-,A+,A+,C+
2023-12-01,top_quant,32,CMCSA,Comcast Corporation,RATING: STRONG BUY4.96,RATING: BUY4.22,RATING: BUY4.00,171.23B,2.67%,C,C+,A+,B+,A-
2023-12-01,top_quant,33,CAMT,Camtek Ltd.,RATING: STRONG BUY4.96,RATING: HOLD3.33,RATING: BUY4.28,2.91B,-,D,C+,B+,A+,A+
2023-12-01,top_quant,34,S,"SentinelOne, Inc.",RATING: STRONG BUY4.95,RATING: BUY4.00,RATING: BUY3.83,7.32B,-,C+,C,C,A+,A+
2023-12-01,top_quant,35,TM,Toyota Motor Corporation,RATING: STRONG BUY4.95,RATING: HOLD3.25,RATING: HOLD3.25,248.68B,2.43%,B-,A+,A+,A-,A+
2023-12-01,top_quant,36,FCNCA,"First Citizens BancShares, Inc.",RATING: STRONG BUY4.95,RATING: BUY4.00,RATING: BUY4.10,20.75B,0.27%,A-,A+,A-,A+,A+
2023-12-01,top_quant,37,FNMA,Federal National Mortgage Association,RATING: STRONG BUY4.95,-RATING: NOT COVERED,RATING: HOLD2.50,4.08B,-,A+,A-,A+,A+,B-
2023-12-01,top_quant,38,SMLR,"Semler Scientific, Inc.",RATING: STRONG BUY4.95,RATING: BUY4.00,RATING: STRONG BUY5.00,310.79M,-,C,B,A+,A+,A-
2023-12-01,top_quant,39,MOD,Modine Manufacturing Company,RATING: STRONG BUY4.95,RATING: BUY3.50,RATING: STRONG BUY4.75,2.82B,-,C-,A,B,A+,A+
2023-12-01,top_quant,40,RXST,"RxSight, Inc.",RATING: STRONG BUY4.95,RATING: HOLD3.00,RATING: BUY4.37,1.34B,-,D,A-,C+,A+,A
2023-12-01,top_quant,41,ANTX,"AN2 Therapeutics, Inc.",RATING: STRONG BUY4.95,-RATING: NOT COVERED,RATING: STRONG BUY5.00,615.50M,-,C,B,C,A+,A
2023-12-01,top_quant,42,DELL,Dell Technologies Inc.,RATING: STRONG BUY4.94,RATING: HOLD3.16,RATING: BUY4.09,49.27B,2.06%,B,C-,A+,A,B+
2023-12-01,top_quant,43,SERA,"Sera Prognostics, Inc.",RATING: STRONG BUY4.94,-RATING: NOT COVERED,RATING: STRONG BUY5.00,140.07M,-,C,C+,B-,A+,A+
2023-12-01,top_quant,44,NPCE,"NeuroPace, Inc.",RATING: STRONG BUY4.94,RATING: HOLD3.00,RATING: BUY4.16,209.61M,-,C-,C,C+,A+,A+
2023-12-01,top_quant,45,AMSC,American Superconductor Corporation,RATING: STRONG BUY4.94,RATING: BUY4.00,RATING: STRONG BUY4.66,315.92M,-,C+,C,D,A+,A+
2023-12-01,top_quant,46,ESEA,Euroseas Ltd.,RATING: STRONG BUY4.94,RATING: BUY4.00,RATING: STRONG BUY4.50,185.28M,7.49%,A+,B-,C+,A-,A+
2023-12-01,top_quant,47,ORTX,Orchard Therapeutics plc,RATING: STRONG BUY4.94,RATING: BUY3.50,RATING: HOLD3.00,371.36M,-,C-,B,D,A+,C-
2023-12-01,top_quant,48,MHO,"M/I Homes, Inc.",RATING: STRONG BUY4.94,RATING: BUY3.50,RATING: STRONG BUY5.00,3.19B,-,A-,C,A-,A+,A+
2023-12-01,top_quant,49,SCS,Steelcase Inc.,RATING: STRONG BUY4.94,RATING: BUY4.00,RATING: HOLD3.00,1.43B,3.22%,B,A+,C+,A+,A
2023-12-01,top_quant,50,BVH,Bluegreen Vacations Holding Corporation,RATING: STRONG BUY4.94,RATING: BUY3.50,RATING: HOLD3.00,1.26B,1.08%,D,B-,D+,A+,B
2023-12-01,top_quant,51,COF,Capital One Financial Corporation,RATING: STRONG BUY4.93,RATING: HOLD3.00,RATING: HOLD3.33,45.25B,2.00%,B+,A,A+,A-,B+
2023-12-01,top_quant,52,APP,AppLovin Corporation,RATING: STRONG BUY4.93,RATING: BUY3.75,RATING: BUY4.00,12.19B,-,C-,A+,A,A+,B
2023-12-01,top_quant,53,CRM,"Salesforce, Inc.",RATING: STRONG BUY4.93,RATING: BUY3.75,RATING: BUY4.07,244.03B,-,D+,B+,A+,A,B+
2023-12-01,top_quant,54,MFC,Manulife Financial Corporation,RATING: STRONG BUY4.93,RATING: BUY3.66,RATING: BUY3.64,37.91B,5.14%,A,C,A+,B,B+
2023-12-01,top_quant,55,PATH,UiPath Inc.,RATING: STRONG BUY4.93,RATING: BUY3.70,RATING: BUY3.77,13.88B,-,D,A+,B+,A+,A
2023-12-01,top_quant,56,UGP,Ultrapar Participações S.A.,RATING: STRONG BUY4.93,RATING: HOLD3.00,RATING: HOLD3.12,5.58B,1.37%,D,C+,C-,A+,A-
2023-12-01,top_quant,57,STNE,StoneCo Ltd.,RATING: STRONG BUY4.93,RATING: BUY3.60,RATING: BUY3.76,4.93B,-,B+,A+,B,A+,B+
2023-12-01,top_quant,58,CMPR,Cimpress plc,RATING: STRONG BUY4.93,RATING: BUY4.00,RATING: STRONG BUY4.50,2.05B,-,B,A,C-,A+,A
2023-12-01,top_quant,59,DTEGY,Deutsche Telekom AG,RATING: STRONG BUY4.92,RATING: STRONG BUY4.50,RATING: STRONG BUY4.50,122.29B,3.13%,C+,C,A+,A-,A
2023-12-01,top_quant,60,USM,United States Cellular Corporation,RATING: STRONG BUY4.92,RATING: HOLD2.50,RATING: HOLD3.12,3.62B,-,C,B-,C+,A+,A
2023-12-01,top_quant,61,INTR,"Inter & Co, Inc.",RATING: STRONG BUY4.92,RATING: BUY4.00,RATING: HOLD3.33,1.98B,-,B-,A+,B-,A+,B-
2023-12-01,top_quant,62,CURV,Torrid Holdings Inc.,RATING: STRONG BUY4.92,RATING: HOLD3.00,RATING: HOLD3.00,496.57M,-,C,A-,C,A+,B+
2023-12-01,top_quant,63,MLTX,MoonLake Immunotherapeutics,RATING: STRONG BUY4.92,RATING: BUY3.75,RATING: STRONG BUY4.57,3.38B,-,C-,A+,B-,A+,B-
2023-12-01,top_quant,64,NCMI,"National CineMedia, Inc.",RATING: STRONG BUY4.92,RATING: SELL2.00,RATING: BUY3.66,392.95M,-,A+,B,A,A,A+
2023-12-01,top_quant,65,ENIC,Enel Chile S.A.,RATING: STRONG BUY4.92,RATING: BUY4.00,RATING: BUY3.50,4.61B,9.86%,A+,A+,A-,A+,A
2023-12-01,top_quant,66,TCRX,"TScan Therapeutics, Inc.",RATING: STRONG BUY4.92,RATING: HOLD3.00,RATING: STRONG BUY4.50,262.56M,-,C,B+,D,A+,B
2023-12-01,top_quant,67,AVVIY,Aviva plc,RATING: STRONG BUY4.91,RATING: BUY4.00,RATING: BUY4.00,14.73B,7.20%,A+,B,A+,B-,A-
2023-12-01,top_quant,68,AUGX,"Augmedix, Inc.",RATING: STRONG BUY4.91,RATING: BUY3.75,RATING: STRONG BUY4.75,269.00M,-,D+,B+,D+,A+,B+
2023-12-01,top_quant,69,WFC,Wells Fargo & Company,RATING: STRONG BUY4.91,RATING: BUY3.75,RATING: BUY4.07,167.06B,2.80%,C,A-,A+,B,B
2023-12-01,top_quant,70,RCMT,"RCM Technologies, Inc.",RATING: STRONG BUY4.91,RATING: BUY3.50,RATING: STRONG BUY5.00,208.11M,-,B,B+,A,A+,A+
2023-12-01,top_quant,71,CVRX,"CVRx, Inc.",RATING: STRONG BUY4.91,-RATING: NOT COVERED,RATING: STRONG BUY4.66,483.34M,-,D+,C+,C-,A+,A-
2023-12-01,top_quant,72,USAP,"Universal Stainless & Alloy Products, Inc.",RATING: STRONG BUY4.91,RATING: BUY4.00,RATING: STRONG BUY5.00,144.14M,-,B,A,C,A+,A+
2023-12-01,top_quant,73,IBRX,"ImmunityBio, Inc.",RATING: STRONG BUY4.91,RATING: HOLD3.00,RATING: BUY4.00,2.44B,-,D,A-,B,A+,A-
2023-12-01,top_quant,74,LWAY,"Lifeway Foods, Inc.",RATING: STRONG BUY4.91,RATING: HOLD3.00,RATING: HOLD3.00,187.60M,-,C,A,C+,A+,A-
2023-12-01,top_quant,75,CNM,"Core & Main, Inc.",RATING: STRONG BUY4.91,RATING: BUY4.00,RATING: BUY4.00,8.23B,-,B-,B,A-,A+,A-
2023-12-01,top_quant,76,AEL,American Equity Investment Life Holding Company,RATING: STRONG BUY4.90,RATING: BUY3.50,RATING: HOLD3.00,4.37B,-,A,A,B+,A,A-
2023-12-01,top_quant,77,THRD,"Third Harmonic Bio, Inc.",RATING: STRONG BUY4.90,-RATING: NOT COVERED,RATING: BUY4.00,389.10M,-,B,C,B,A+,B+
2023-12-01,top_quant,78,AVGO,Broadcom Inc.,RATING: STRONG BUY4.90,RATING: HOLD3.40,RATING: BUY4.43,443.65B,1.72%,D,B-,A+,A,B-
2023-12-01,top_quant,79,POWL,"Powell Industries, Inc.",RATING: STRONG BUY4.90,RATING: BUY3.75,RATING: HOLD3.00,1.06B,1.19%,C,A,A-,A+,A
2023-12-01,top_quant,80,WEAV,"Weave Communications, Inc.",RATING: STRONG BUY4.90,RATING: BUY4.33,RATING: BUY4.00,736.42M,-,C-,C+,C,A+,A
2023-12-01,top_quant,81,ANET,"Arista Networks, Inc.",RATING: STRONG BUY4.90,RATING: HOLD3.25,RATING: BUY4.03,70.49B,-,D,A-,A+,A,B+
2023-12-01,top_quant,82,GRCL,Gracell Biotechnologies Inc.,RATING: STRONG BUY4.90,RATING: HOLD3.00,RATING: STRONG BUY4.77,491.14M,-,B-,C,B,A+,B
2023-12-01,top_quant,83,APEI,"American Public Education, Inc.",RATING: STRONG BUY4.90,-RATING: NOT COVERED,RATING: BUY3.75,167.08M,-,B+,C+,D+,A+,A+
2023-12-01,top_quant,84,GE,General Electric Company,RATING: STRONG BUY4.89,RATING: HOLD3.11,RATING: BUY4.00,130.91B,0.25%,D,A-,A+,A-,A
2023-12-01,top_quant,85,CBAY,"CymaBay Therapeutics, Inc.",RATING: STRONG BUY4.89,RATING: HOLD3.00,RATING: STRONG BUY4.83,2.40B,-,D,A+,D,A+,C+
2023-12-01,top_quant,86,RCL,Royal Caribbean Cruises Ltd.,RATING: STRONG BUY4.89,RATING: HOLD3.33,RATING: BUY4.36,30.85B,-,D,A,A,A+,A-
2023-12-01,top_quant,87,LRN,"Stride, Inc.",RATING: STRONG BUY4.89,RATING: BUY4.00,RATING: BUY4.20,2.57B,-,C+,B,B,A+,A
2023-12-01,top_quant,88,ATGE,Adtalem Global Education Inc.,RATING: STRONG BUY4.89,RATING: BUY4.00,RATING: BUY4.33,2.39B,-,C-,A,B,A+,A+
2023-12-01,top_quant,89,SEMR,"Semrush Holdings, Inc.",RATING: STRONG BUY4.89,RATING: BUY4.00,RATING: HOLD3.42,1.64B,-,D+,A+,C-,A,A+
2023-12-01,top_quant,90,PTVE,Pactiv Evergreen Inc.,RATING: STRONG BUY4.89,RATING: HOLD3.00,RATING: HOLD3.00,2.20B,3.25%,B+,B,B-,A+,A+
2023-12-01,top_quant,91,CB,Chubb Limited,RATING: STRONG BUY4.89,RATING: BUY4.00,RATING: BUY3.86,91.58B,1.49%,D,B+,A+,B+,A-
2023-12-01,top_quant,92,FUJHY,Subaru Corporation,RATING: STRONG BUY4.88,RATING: BUY4.33,RATING: HOLD3.00,13.25B,3.33%,A+,A,B+,C+,A+
2023-12-01,top_quant,93,GDDY,GoDaddy Inc.,RATING: STRONG BUY4.88,RATING: HOLD3.33,RATING: BUY4.00,14.87B,-,D,B,A-,A,A+
2023-12-01,top_quant,94,CAH,"Cardinal Health, Inc.",RATING: STRONG BUY4.88,RATING: HOLD3.00,RATING: HOLD3.20,26.36B,1.85%,A-,C+,A+,A,B+
2023-12-01,top_quant,95,MAMA,"Mama's Creations, Inc.",RATING: STRONG BUY4.88,RATING: BUY4.00,RATING: STRONG BUY4.66,144.80M,-,D+,A+,B+,A+,B
2023-12-01,top_quant,96,VTSI,"VirTra, Inc.",RATING: STRONG BUY4.88,-RATING: NOT COVERED,RATING: STRONG BUY4.50,92.09M,-,B+,A+,B+,A+,A-
2023-12-01,top_quant,97,SPOT,Spotify Technology S.A.,RATING: STRONG BUY4.88,RATING: BUY3.70,RATING: BUY4.00,38.59B,-,C-,A+,D+,A+,B+
2023-12-01,top_quant,98,YALA,Yalla Group Limited,RATING: STRONG BUY4.88,RATING: BUY4.00,RATING: BUY4.00,928.95M,-,B,A-,A-,A+,A
2023-12-01,top_quant,99,BKNG,Booking Holdings Inc.,RATING: STRONG BUY4.88,RATING: BUY4.00,RATING: BUY4.05,118.53B,-,D,A+,A+,A,A-
